Method,Num_Clusters,Silhouette,CH_Index,DB_Index
T+N+Pca,3,0.2227739160291361,153.54837625961113,1.6406482791979158
T+N+Pca,4,0.2472140032929665,136.33485687115996,1.420790454261568
T+N+Pca,5,0.2183845951195407,121.23960165808546,1.585014729694327
No Data Processing,3,0.4783511411368133,210.15255851630997,0.8895092833674646
No Data Processing,4,0.3866313675434283,207.8196776373569,0.9543469128085162
No Data Processing,5,0.3832957495230123,215.0578365664882,0.9020404531787346
Pca,3,0.4783511411368133,210.15255851631,0.8895092833674645
Pca,4,0.3866313675434284,207.81967763735705,0.9543469128085156
Pca,5,0.3832957495230124,215.05783656648825,0.9020404531787344
transformed,3,0.8554418385535055,13039.778749807889,0.3388976939019816
transformed,4,0.5181342148885602,15162.648512191226,0.6202883640748861
transformed,5,0.46195455761073,14221.638378222597,0.7017193684170151
Normalized,3,0.3567685389017652,139.34941202094194,1.1736367961162066
Normalized,4,0.3478236113634492,130.9300325156431,1.237736902225925
Normalized,5,0.3488960197144706,138.79568750607788,1.0895847866083266
T+N,3,0.2227739160291361,153.54837625961113,1.6406482791979162
T+N,4,0.2469887866673673,136.34675784208457,1.423862954612627
T+N,5,0.2149723796295824,120.56795883556484,1.6109195554471494
